id,priority,series,format,hook,beats,punchline,source_needed,approved_setting,tts,cover_text,status,notes
AM-016,P2,Driver NPC Dialogue,animated-original,The car flashed first.,driver speech bubble; rider internal monologue; comic answer,NPC HAS CHOSEN CHAOS.,public-road clip or graphic recreation,public road only,yes,NPC HAS CHOSEN CHAOS,BACKLOG,Use only original graphics or native remix with meaningful commentary.
AM-017,P2,Animated Biker Problems,animated-original,One accessory. That's it.,one accessory becomes a branching upgrade tree,BUILD COMPLETE. WALLET DEFEATED.,bike detail or graphic,legal parking area or graphic-only,optional,WALLET DEFEATED,BACKLOG,Do not film at home or in a garage.
AM-018,P2,Seasonal Chaos,animated-original,The forecast forgot the wind.,wind meter fills; helmet audio becomes a comic waveform,AUDIO: UNINSTALLING.,public-road weather clip,public road only,optional,WIND PATCH,BACKLOG,Use clean audio when possible.
AM-019,P2,WV Road Boss Fight,animated-original,Road closed. Obviously the scenic route.,barrier icon; route reroutes; quest counter rises,NEW OBJECTIVE: FIND THE NEXT TURN.,public-road sign or graphic,public road only,deadpan,NEW OBJECTIVE,BACKLOG,No trespassing or barrier crossing.
AM-020,P2,Clutch Tribunal,card-animation,Loud pipes save lives?,noise docket; neighborhood friendship meter; gavel hits,THE COURT REQUESTS EVIDENCE.,ct-003-loud-pipes.png,graphic-only,yes,NOISE COMPLAINT,BACKLOG,Keep it playful and non-defamatory.
AM-021,P2,Animated Biker Problems,animated-original,The scenic pull-off appeared.,rider spots view; schedule explodes; route takes over,CORE MEMORY UNLOCKED.,public scenic pull-off clip,legal public pull-off,optional,CORE MEMORY,BACKLOG,No personal property or home surroundings.
AM-022,P2,Hybrid Life,animated-original,Electric mode: stealth enabled.,bike silhouette fades; bird icon notices; dramatic stealth meter,STEALTH FAILED. ENGINE JOINED CHAT.,bike detail or public-road clip,public road or legal parking area,optional,STEALTH FAILED,BACKLOG,Keep the hybrid joke technically honest.
AM-023,P2,Animated Biker Problems,animated-original,The helmet went on. The plan came off.,route plan dissolves; road choices multiply,PLAN STATUS: DECORATIVE.,helmet/bike setup away from home,legal public location only,deadpan,PLAN STATUS,BACKLOG,Do not use house/garage setup footage.
AM-024,P2,Comment Court,reply-video,Comment: Is that thing really automatic?,comment card enters tribunal; verdict and quick bike detail,APPEAL GRANTED. WATCH THE BIKE.,comment screenshot plus bike clip,graphic-only or public road,optional,COMMENT COURT,BACKLOG,Use a real comment and answer accurately.
AM-025,P0,Animated Biker Problems,photo-transition-mashup,POV: you said QUICK RIDE.,high-beam still; route-map slide; deer patch notes; lime wipe transitions,ETA: EMOTIONALLY SOON.,z7-highbeam-viral-cover.png + gps_map.png + ct-006-deer-season.png,graphic-only/public-road art,optional,QUICK RIDE DLC,DRAFT_RENDERED,"Rendered as zeph-rides-animated-photo-mix-v2-tiktok.mp4; scheduled TikTok 2026-09-26 18:00 America/New_York. TikTok Studio photo mode tested; browser upload parser failed, so retain this finished master for the approved uploader."
